시도,자치단체_매립(톤/일),자치단체_소각(톤/일),자치단체_재활용(톤/일),자치단체_해역배출(톤/일),처리업체_매립(톤/일),처리업체_소각(톤/일),처리업체_재활용(톤/일),처리업체_해역배출(톤/일),자가처리_매립(톤/일),자가처리_소각(톤/일),자가처리_재활용(톤/일),자가처리_해역배출(톤/일)
서울특별시,1069.8,0.6,41.6,0,99.3,62.4,393.4,0,0,125,445,0
부산광역시,2.6,0,0,0,1088.5,97.8,1829.9,7.3,0.2,0.5,7.1,0
대구광역시,0,0,0,0,929.8,7,1434.7,11.4,0,0,0,0
인천광역시,16.4,0,0,0,1622.7,234.2,4844.9,5.9,1767.2,39.8,1318.8,0
광주광역시,57.4,0,0,0,79.9,42.3,457,0,0,5.5,10.9,0
대전광역시,33.4,0,100.8,0,107.3,54.5,415.3,0,122.8,336.3,337.7,0
울산광역시,1.3,270.5,0,0,1156.8,208,3300.3,126.5,86.7,183.1,22.8,0
세종특별자치시,0,0,0,0,238.6,59.3,468.3,3.3,0,128.9,69.6,0
경기도,289.8,261.2,638.4,0,3995.4,1537.3,12125.9,195.4,748.8,409,393.6,0
강원도,43.3,13.1,6.7,0,125,18.5,3576.2,12,0,0,221.7,0
충청북도,6.8,0,0,0,795,318.8,4351.3,26.5,0,860.7,125,0
충청남도,0,6.1,0,0,756.2,719.7,17700,42.1,1440.7,14.4,9624,0
전라북도,90.7,24.9,0,0,813.5,268.5,3716.9,45.4,30.8,1368.4,327.8,0
전라남도,42,20.1,61.4,0,827.5,353.6,21946.5,16.6,132.6,12.7,33.1,0
경상북도,25.3,2.9,0,0,2441.1,455.6,18244.6,38,171.3,234.8,360.8,0
경상남도,318.5,146.3,0.1,0,1220.4,413.3,11560.8,96.1,682.2,349.6,665.3,0
제주특별자치도,100,1.9,0,0,0,0.8,199.8,34.8,0,1.9,18.8,0
